"Scroll to Top","Lên đầu trang"
"Create Your Account","Tạo tài khoản"
"Hi ","Xin chào "
"Filter Products By","Lọc sản phẩm"
"Order time expires on ","Đặt hàng trước hết hạn vào ngày "
"Time to order is finished!","Thời gian đặt hàng trước đã hết!"
"Discount time expires on ","Giá khuyến mãi hết hạn vào ngày "
"Your Dashboard","Tài khoản của bạn"
"Shop By","Lọc sản phẩm"
"Recently Viewed","Sản phẩm bạn đã xem"
"SKU: ","MSP: "
"Images of product is updating","Ảnh sản phẩm đang cập nhật."
"Click image to view full size.","Click vào ảnh để xem kích thước đầy đủ."
"Price: ","Giá: "
"You are subscribed to ""General Subscription"".","Bạn đã đăng ký nhận ""gói bản tin cơ bản""."
"You aren't subscribed to our newsletter.","Bạn chưa đăng ký nhận bản tin."
"Stored Payment Methods","Phương thức thanh toán"
"You have no stored payment methods.","Bạn chưa lưu phương thức thanh toán nào."
"Your recently viewed items","Sản phẩm bạn đã xem"
"Checkout as a new customer","Thanh toán với tài khoản mới"
"Checkout using your account","Thanh toán với tài khoản của bạn"
"Carrier Title","Nhà cung cấp"
"Method Title","Hình thức"
"Select Method","Chọn"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Bạn đã thêm %1 vào <a href=""%2"">giỏ hàng</a>."
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Mua số lượng từ <strong class=""text-theme-color"">%1</strong> trở lên giá chỉ còn %2 <strong class=""benefit""> tiết kiệm được <span class=""percent tier-%3"">%4%</span></strong>",module,Magento_Catalog
"Item in Cart","Sản phẩm"
"Items in Cart","Sản phẩm"
"Don't show this popup again","Không hiển thị lại thông báo này"
"Many options","Nhiều lựa chọn"
"View detail","Xem chi tiết"
"There are no products matching the selection.","Sản phẩm chưa được cập nhật ở mục này."
"We can't find products matching the selection.","Sản phẩm chưa được cập nhật ở mục này."
"Order product policy","Điều khoản hàng order"
"Accept","Chấp nhận"
"Buy Now","Mua ngay"
"Sorry, no quotes are available for this order at this time","Xin lỗi, không có báo giá cho đơn đặt hàng này tại thời điểm này"
"Search entire store here...","Bạn muốn tìm sản phẩm nào..."
"Sort By","Sắp xếp",module,Magento_Catalog
"Discount Code","Mã giảm giá"
"Log In","Đăng nhập"
"Your order (%s) has been placed. You will receive an email with more details of your purchase.","Bạn đã hoàn tất đơn hàng (%s). Bạn sẽ nhận được email chi tiết về đơn hàng này. Cảm ơn bạn đã mua hàng tại <strong>cachmac.com</strong>."
"Print receipt","In biên lai"
"Order Confirmation","Xác nhận đơn hàng"
"Log Out","Đăng xuất"
"If you created this account using Amazon Pay, you might not know your site password.","Nếu bạn đã tạo tài khoản này bằng Amazon Pay, bạn có thể không biết mật khẩu của mình."
"Request a password to change your account password.","Thay đổi mật khẩu."
"Empty Cart","Giỏ hàng"
"Looks like there's nothing here yet. Add something to your shopping cart to get started.","Không có sản phẩm nào trong giỏ hàng. Có thể sản phẩm của chúng tôi chưa làm bạn hài lòng. Nếu bạn có thắc mắc gì, đừng ngại cho chúng tôi biết nhé!"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Mật khẩu phải từ %1 ký tự trở lên. Bao gồm chữ thường hoặc chữ hoa, số và kí tự đặc biệt."
"Enter your destination to get a shipping estimate.","Chọn địa điểm giao hàng để ước tính giá vận chuyển."
"More Choices:","Bạn muốn mua thêm gì không?",module,Magento_Catalog
"Short Description","Mô tả ngắn gọn"
"An error occurred while processing your form. Please try again later.","Có lỗi xảy ra khi xử lý yêu cầu của bạn. Xin hãy thử lại."
"We received too many requests for password resets. ","Chúng tôi đã nhận được nhiều yêu cầu thay đổi mật khẩu. "
"Please wait and try again later or contact %1.","Xin hãy chờ và thử lại sau hoặc liên hệ: %1."
"Related search terms","Từ khóa liên quan"
"Create Account","Tạo tài khoản"
"Save your shipping and payment details for your next purchase. We'll send instructions on how to create your account to your inbox.","Việc tạo tài khoản sẽ giúp bạn lưu lại được các thông tin vận chuyển, thanh toán, nhận được các thông tin khuyến mãi và giúp quá trình thanh toán được nhanh hơn."
"Sign Up For Newsletter","Đăng ký nhận tin"
"Shopping Options","Lọc sản phẩm",module,Magento_Catalog
Edit,"Sửa"
"Remove item","Xóa"
Subtotal,"Tạm tính"
"Proceed to Checkout","Thanh toán"
"Tax","Thuế",
"Related products","Sản phẩm liên quan"
"You must login or register to add items to your wishlist.","Bạn cần phải đăng nhập hoặc đăng ký thì mới có thể thêm sản phẩm vào danh sách yêu thích."
"This email address is already subscribed.","Địa chỉ Email này đã tồn tại trong danh sách đăng ký."
"If your have no account. Please ","Nếu bạn chưa có tài khoản. Xin hãy "
"If your have an account. Please ","Nếu bạn đã có tài khoản. Xin hãy "
"login","đăng nhập"
" now."," ngay."
"register","đăng ký"
"Please type the letters and numbers below","Xin hãy nhập các ký tự và số ở ảnh bên dưới"
"Account","Tài khoản"
"All ","Tất cả: "
"View all","Xem tất cả"
"The requested qty is not available","Số lượng yêu cầu không có sẵn"
"SKU","Mã"
"Ship here","Gửi ở đây"
"We have updated your subscription.","Đăng ký nhận tin của bạn đã được cập nhật."
"View All","Xem tất cả"
